iter	Passed	Remaining
0	154	154127
1	155	77364
2	155	51803
3	160	40012
4	161	32144
5	162	26880
6	163	23130
7	163	20316
8	164	18129
9	165	16365
10	165	14923
11	166	13744
12	167	12721
13	168	11850
14	168	11087
15	169	10419
16	170	9848
17	171	9367
18	172	8932
19	173	8525
20	174	8153
21	175	7812
22	176	7514
23	177	7226
24	179	6983
25	180	6757
26	181	6534
27	182	6327
28	184	6165
29	188	6089
30	189	5922
31	190	5753
32	190	5594
33	191	5442
34	192	5305
35	193	5174
36	194	5052
37	194	4932
38	195	4823
39	196	4719
40	197	4621
41	198	4521
42	199	4429
43	203	4417
44	204	4338
45	205	4260
46	206	4181
47	207	4105
48	208	4042
49	208	3970
50	209	3902
51	210	3836
52	211	3773
53	211	3711
54	212	3654
55	213	3596
56	217	3601
57	218	3548
58	219	3498
59	220	3447
60	221	3404
61	221	3357
62	223	3326
63	224	3283
64	225	3239
65	226	3198
66	228	3186
67	230	3153
68	231	3128
69	232	3093
70	234	3064
71	234	3028
72	235	2994
73	236	2959
74	238	2936
75	238	2905
76	239	2875
77	247	2923
78	248	2893
79	248	2862
80	249	2831
81	250	2801
82	250	2772
83	251	2744
84	253	2728
85	254	2706
86	258	2716
87	260	2698
88	261	2675
89	262	2653
90	263	2630
91	264	2606
92	264	2583
93	265	2559
94	266	2536
95	267	2515
96	269	2507
97	273	2513
98	274	2499
99	275	2479
100	276	2459
101	277	2439
102	277	2418
103	278	2398
104	279	2379
105	279	2359
106	280	2339
107	281	2321
108	282	2307
109	283	2294
110	285	2287
111	288	2285
112	289	2270
113	289	2253
114	290	2236
115	291	2219
116	291	2202
117	292	2186
118	293	2169
119	293	2153
120	294	2140
121	295	2125
122	297	2119
123	297	2104
124	304	2130
125	305	2116
126	305	2100
127	306	2090
128	307	2078
129	308	2064
130	309	2050
131	309	2038
132	310	2024
133	312	2017
134	312	2005
135	315	2007
136	318	2004
137	318	1992
138	319	1979
139	320	1968
140	321	1956
141	321	1942
142	322	1930
143	322	1918
144	324	1912
145	325	1905
146	327	1898
147	331	1907
148	334	1912
149	335	1903
150	336	1893
151	337	1882
152	338	1871
153	340	1868
154	341	1861
155	344	1861
156	345	1855
157	348	1858
158	350	1851
159	351	1842
160	351	1831
161	352	1823
162	353	1813
163	353	1804
164	354	1796
165	356	1790
166	362	1808
167	363	1802
168	365	1796
169	366	1788
170	367	1780
171	367	1771
172	368	1761
173	369	1752
174	370	1744
175	371	1737
176	373	1735
177	376	1737
178	378	1735
179	379	1726
180	379	1718
181	380	1709
182	380	1700
183	381	1693
184	382	1685
185	383	1678
186	384	1672
187	385	1664
188	390	1675
189	391	1671
190	392	1663
191	393	1655
192	394	1647
193	394	1639
194	395	1631
195	395	1624
196	396	1616
197	397	1608
198	397	1601
199	398	1595
200	399	1588
201	401	1584
202	403	1582
203	406	1585
204	407	1580
205	408	1574
206	409	1568
207	410	1562
208	411	1555
209	411	1549
210	412	1544
211	413	1538
212	415	1536
213	419	1542
214	421	1539
215	422	1533
216	423	1527
217	424	1521
218	424	1514
219	425	1509
220	426	1504
221	428	1502
222	435	1516
223	435	1510
224	436	1504
225	437	1499
226	438	1494
227	439	1487
228	440	1481
229	440	1476
230	441	1470
231	442	1465
232	443	1460
233	445	1459
234	447	1456
235	448	1450
236	448	1445
237	449	1439
238	450	1433
239	450	1427
240	451	1421
241	452	1416
242	452	1410
243	453	1406
244	454	1401
245	455	1397
246	456	1391
247	457	1387
248	460	1387
249	461	1384
250	462	1378
251	462	1373
252	463	1368
253	464	1362
254	464	1357
255	465	1352
256	465	1347
257	466	1341
258	467	1336
259	468	1332
260	469	1328
261	470	1325
262	471	1320
263	473	1318
264	476	1321
265	477	1317
266	478	1312
267	478	1307
268	479	1302
269	480	1298
270	480	1293
271	481	1288
272	482	1283
273	484	1284
274	491	1297
275	493	1294
276	495	1293
277	496	1289
278	497	1285
279	498	1282
280	500	1279
281	504	1285
282	507	1286
283	508	1282
284	509	1277
285	510	1275
286	511	1271
287	513	1268
